binder_id,binder_name,coverholder_id,authorization_limit,quota_share_percent,effective_date,expiry_date
BND001,Professional Liability 2024,CH001,500000,15,2024-01-01,2024-12-31
BND002,General Liability Primary,CH002,1000000,20,2024-01-01,2024-12-31
BND003,Medical Malpractice Facility,CH003,750000,10,2024-01-01,2024-12-31
BND004,Cyber Risk Protection,CH004,600000,12,2024-01-01,2024-12-31
BND005,Property Damage Master,CH005,2000000,25,2024-01-01,2024-12-31
BND006,Specialty Liability,CH006,450000,8,2024-01-01,2024-12-31
BND007,Executive Risk,CH007,800000,18,2024-01-01,2024-12-31
BND008,Tech & Digital Risks,CH008,1200000,22,2024-01-01,2024-12-31
BND009,Financial Services,CH009,900000,16,2024-01-01,2024-12-31
BND010,Construction Risks,CH010,1100000,19,2024-01-01,2024-12-31
BND011,Transportation Liability,CH011,700000,14,2024-01-01,2024-12-31
BND012,Hospitality & Tourism,CH012,350000,6,2024-01-01,2024-12-31
BND013,Manufacturing Risks,CH013,950000,17,2024-01-01,2024-12-31
BND014,Agricultural Liability,CH014,400000,7,2024-01-01,2024-12-31
BND015,Directors & Officers,CH015,550000,11,2024-01-01,2024-12-31
BND016,Environmental Liability,CH016,650000,13,2024-01-01,2024-12-31
BND017,Marine & Cargo,CH017,1300000,23,2024-01-01,2024-12-31
BND018,Energy & Oil Gas,CH018,1500000,24,2024-01-01,2024-12-31
BND019,Retail & Commerce,CH019,480000,9,2024-01-01,2024-12-31
BND020,Aviation & Aerospace,CH020,2500000,28,2024-01-01,2024-12-31
