policy_id,coverholder_id,policy_type,inception_date,expiry_date,annual_premium,coverage_limit,policy_status
POL001,CH001,Professional Liability,2023-01-01,2024-12-31,150000,5000000,Active
POL002,CH002,General Liability,2023-03-15,2024-03-14,200000,10000000,Active
POL003,CH001,Property Damage,2023-06-01,2025-05-31,180000,8000000,Active
POL004,CH003,Medical Malpractice,2023-02-10,2024-02-09,220000,12000000,Active
POL005,CH002,Professional Liability,2023-07-20,2025-07-19,165000,6000000,Active
POL006,CH001,Cyber Liability,2023-04-01,2024-03-31,120000,3000000,Active
POL007,CH004,General Liability,2023-05-15,2024-05-14,190000,9000000,Active
POL008,CH003,Property Damage,2023-08-01,2025-07-31,175000,7500000,Active
POL009,CH002,Cyber Liability,2023-09-10,2024-09-09,130000,3500000,Active
POL010,CH001,Medical Malpractice,2023-10-01,2025-09-30,240000,15000000,Active
POL011,CH005,Professional Liability,2023-01-15,2024-01-14,155000,5500000,Active
POL012,CH006,General Liability,2023-02-20,2024-02-19,205000,10500000,Active
POL013,CH007,Property Damage,2023-03-25,2024-03-24,185000,8500000,Active
POL014,CH008,Medical Malpractice,2023-04-10,2024-04-09,230000,12500000,Active
POL015,CH009,Professional Liability,2023-05-05,2024-05-04,160000,6500000,Active
POL016,CH010,Cyber Liability,2023-06-15,2024-06-14,135000,4000000,Active
POL017,CH005,General Liability,2023-07-01,2024-06-30,210000,11000000,Active
POL018,CH006,Property Damage,2023-08-10,2024-08-09,190000,9000000,Active
POL019,CH007,Cyber Liability,2023-09-20,2024-09-19,140000,4500000,Active
POL020,CH008,Professional Liability,2023-10-15,2024-10-14,170000,7000000,Active
POL021,CH009,General Liability,2023-11-01,2024-10-31,215000,11500000,Active
POL022,CH010,Property Damage,2023-12-10,2025-12-09,195000,9500000,Active
POL023,CH001,Cyber Liability,2024-01-05,2025-01-04,145000,4500000,Active
POL024,CH002,Medical Malpractice,2024-01-20,2025-01-19,245000,15500000,Active
POL025,CH003,Professional Liability,2024-02-01,2025-01-31,175000,7500000,Active
POL026,CH004,General Liability,2024-02-15,2025-02-14,220000,12000000,Active
POL027,CH005,Property Damage,2024-03-01,2025-02-28,200000,10000000,Active
POL028,CH006,Cyber Liability,2024-03-15,2025-03-14,150000,5000000,Active
POL029,CH007,Medical Malpractice,2024-04-01,2025-03-31,250000,16000000,Active
POL030,CH008,Professional Liability,2024-04-15,2025-04-14,180000,8000000,Active
